id,category,question,answer
health-faq-1,health,What does health insurance usually cover?,Health insurance commonly covers in-patient hospitalization day care treatments ambulance charges and pre and post hospitalization expenses subject to policy wording.
health-faq-2,health,Why do young professionals still need health insurance?,Even if your employer offers a cover a personal policy helps you keep continuity build your own no-claim history and stay protected if you switch jobs.
health-faq-3,health,What is a waiting period in health insurance?,A waiting period is the initial time during which some illnesses treatments or pre-existing conditions cannot be claimed under the policy.
health-faq-4,health,What is cashless hospitalization?,Cashless hospitalization means the insurer settles eligible medical bills directly with a network hospital instead of making you pay first and claim later.
health-faq-5,health,How should I compare two health plans?,Compare sum insured room rent limits waiting periods restoration benefits network hospitals and optional riders before choosing the plan.
health-faq-6,health,What is restoration or recharge benefit?,It restores some or all of the exhausted sum insured after a claim so you still have coverage available for later hospitalization in the same year.
life-faq-1,life,What is term life insurance?,Term insurance is a pure protection plan that pays a death benefit to your nominee if you pass away during the chosen policy term.
life-faq-2,life,Why is term insurance considered a good first policy?,It usually offers high life cover at relatively affordable premiums which makes it one of the simplest ways to start financial protection.
life-faq-3,life,How much life cover should a young salaried person consider?,A common starting approach is to estimate cover based on income liabilities future goals and dependents rather than choosing only the cheapest premium.
life-faq-4,life,What affects a term insurance premium?,Age smoking status health profile income selected sum assured payout option and riders all influence the premium you are quoted.
life-faq-5,life,What is a rider in term insurance?,A rider is an optional extra benefit such as accidental death critical illness or waiver of premium added to the base policy at extra cost.
life-faq-6,life,Can I buy term insurance online without an advisor call?,Yes many insurers and marketplaces let you compare plans fill details and begin underwriting online though medical checks may still be required.
car-faq-1,car,What is the difference between third-party and comprehensive car insurance?,Third-party insurance covers damage caused to others while comprehensive insurance adds protection for your own car against accidents theft fire and calamities.
car-faq-2,car,Why are add-ons important in car insurance?,Add-ons such as zero depreciation engine protection and roadside assistance can improve claim value or convenience depending on your car and usage.
car-faq-3,car,What affects a car insurance premium quote?,The vehicle make model registration location IDV previous claims and selected add-ons all affect your premium.
car-faq-4,car,What is IDV in car insurance?,IDV or insured declared value is the approximate current market value of the car used as the basis for total loss or theft claims.
car-faq-5,car,Why should I compare network garages?,A wider cashless garage network can make repairs smoother because the insurer can settle approved bills directly with partner workshops.
car-faq-6,car,When should I renew car insurance?,Renew before the policy expiry date to avoid a coverage gap inspection delays and possible loss of accumulated no claim bonus benefits.
motor-faq-1,motor,What does bike insurance typically protect against?,Bike insurance can protect against third-party liabilities and in comprehensive plans also cover own damage theft fire and natural calamities.
motor-faq-2,motor,Is bike insurance mandatory in India?,At least third-party insurance is mandatory by law for riding a two-wheeler on public roads in India.
motor-faq-3,motor,What is comprehensive bike insurance?,Comprehensive bike insurance combines third-party liability coverage with own damage protection for the insured bike.
motor-faq-4,motor,Which add-ons are useful for bike owners?,Riders often look at zero depreciation roadside assistance return to invoice and consumables cover depending on bike age and usage.
motor-faq-5,motor,Why should I renew bike insurance before it expires?,Timely renewal helps avoid legal issues preserves continuity benefits and keeps you protected from accidents or theft without a gap.
motor-faq-6,motor,What details are usually needed to get a bike insurance quote?,You typically need the vehicle registration number or bike details plus previous policy information if you are renewing an existing cover.
